id,label
30000,0.5
30001,0.5
30002,0.5
30003,0.5
30004,0.5
30005,0.5
30006,0.5
30007,0.5
30008,0.5
30009,0.5
30010,0.5
30011,0.5
30012,0.5
30013,0.5
30014,0.5
30015,0.5
30016,0.5
30017,0.5
30018,0.5
30019,0.5
30020,0.5
30021,0.5
30022,0.5
30023,0.5
30024,0.5
30025,0.5
30026,0.5
30027,0.5
30028,0.5
30029,0.5
30030,0.5
30031,0.5
30032,0.5
30033,0.5
30034,0.5
30035,0.5
30036,0.5
30037,0.5
30038,0.5
30039,0.5
30040,0.5
30041,0.5
30042,0.5
30043,0.5
30044,0.5
30045,0.5
30046,0.5
30047,0.5
30048,0.5
30049,0.5
30050,0.5
30051,0.5
30052,0.5
30053,0.5
30054,0.5
30055,0.5
30056,0.5
30057,0.5
30058,0.5
30059,0.5
30060,0.5
30061,0.5
30062,0.5
30063,0.5
30064,0.5
30065,0.5
30066,0.5
30067,0.5
30068,0.5
30069,0.5
30070,0.5
30071,0.5
30072,0.5
30073,0.5
30074,0.5
30075,0.5
30076,0.5
30077,0.5
30078,0.5
30079,0.5
30080,0.5
30081,0.5
30082,0.5
30083,0.5
30084,0.5
30085,0.5
30086,0.5
30087,0.5
30088,0.5
30089,0.5
30090,0.5
30091,0.5
30092,0.5
30093,0.5
30094,0.5
30095,0.5
30096,0.5
30097,0.5
30098,0.5
30099,0.5
30100,0.5
30101,0.5
30102,0.5
30103,0.5
30104,0.5
30105,0.5
30106,0.5
30107,0.5
30108,0.5
30109,0.5
30110,0.5
30111,0.5
30112,0.5
30113,0.5
30114,0.5
30115,0.5
30116,0.5
30117,0.5
30118,0.5
30119,0.5
30120,0.5
30121,0.5
30122,0.5
30123,0.5
30124,0.5
30125,0.5
30126,0.5
30127,0.5
30128,0.5
30129,0.5
30130,0.5
30131,0.5
30132,0.5
30133,0.5
30134,0.5
30135,0.5
30136,0.5
30137,0.5
30138,0.5
30139,0.5
30140,0.5
30141,0.5
30142,0.5
30143,0.5
30144,0.5
30145,0.5
30146,0.5
30147,0.5
30148,0.5
30149,0.5
30150,0.5
30151,0.5
30152,0.5
30153,0.5
30154,0.5
30155,0.5
30156,0.5
30157,0.5
30158,0.5
30159,0.5
30160,0.5
30161,0.5
30162,0.5
30163,0.5
30164,0.5
30165,0.5
30166,0.5
30167,0.5
30168,0.5
30169,0.5
30170,0.5
30171,0.5
30172,0.5
30173,0.5
30174,0.5
30175,0.5
30176,0.5
30177,0.5
30178,0.5
30179,0.5
30180,0.5
30181,0.5
30182,0.5
30183,0.5
30184,0.5
30185,0.5
30186,0.5
30187,0.5
30188,0.5
30189,0.5
30190,0.5
30191,0.5
30192,0.5
30193,0.5
30194,0.5
30195,0.5
30196,0.5
30197,0.5
30198,0.5
30199,0.5
30200,0.5
30201,0.5
30202,0.5
30203,0.5
30204,0.5
30205,0.5
30206,0.5
30207,0.5
30208,0.5
30209,0.5
30210,0.5
30211,0.5
30212,0.5
30213,0.5
30214,0.5
30215,0.5
30216,0.5
30217,0.5
30218,0.5
30219,0.5
30220,0.5
30221,0.5
30222,0.5
30223,0.5
30224,0.5
30225,0.5
30226,0.5
30227,0.5
30228,0.5
30229,0.5
30230,0.5
30231,0.5
30232,0.5
30233,0.5
30234,0.5
30235,0.5
30236,0.5
30237,0.5
30238,0.5
30239,0.5
30240,0.5
30241,0.5
30242,0.5
30243,0.5
30244,0.5
30245,0.5
30246,0.5
30247,0.5
30248,0.5
30249,0.5
30250,0.5
30251,0.5
30252,0.5
30253,0.5
30254,0.5
30255,0.5
30256,0.5
30257,0.5
30258,0.5
30259,0.5
30260,0.5
30261,0.5
30262,0.5
30263,0.5
30264,0.5
30265,0.5
30266,0.5
30267,0.5
30268,0.5
30269,0.5
30270,0.5
30271,0.5
30272,0.5
30273,0.5
30274,0.5
30275,0.5
30276,0.5
30277,0.5
30278,0.5
30279,0.5
30280,0.5
30281,0.5
30282,0.5
30283,0.5
30284,0.5
30285,0.5
30286,0.5
30287,0.5
30288,0.5
30289,0.5
30290,0.5
30291,0.5
30292,0.5
30293,0.5
30294,0.5
30295,0.5
30296,0.5
30297,0.5
30298,0.5
30299,0.5
30300,0.5
30301,0.5
30302,0.5
30303,0.5
30304,0.5
30305,0.5
30306,0.5
30307,0.5
30308,0.5
30309,0.5
30310,0.5
30311,0.5
30312,0.5
30313,0.5
30314,0.5
30315,0.5
30316,0.5
30317,0.5
30318,0.5
30319,0.5
30320,0.5
30321,0.5
30322,0.5
30323,0.5
30324,0.5
30325,0.5
30326,0.5
30327,0.5
30328,0.5
30329,0.5
30330,0.5
30331,0.5
30332,0.5
30333,0.5
30334,0.5
30335,0.5
30336,0.5
30337,0.5
30338,0.5
30339,0.5
30340,0.5
30341,0.5
30342,0.5
30343,0.5
30344,0.5
30345,0.5
30346,0.5
30347,0.5
30348,0.5
30349,0.5
30350,0.5
30351,0.5
30352,0.5
30353,0.5
30354,0.5
30355,0.5
30356,0.5
30357,0.5
30358,0.5
30359,0.5
30360,0.5
30361,0.5
30362,0.5
30363,0.5
30364,0.5
30365,0.5
30366,0.5
30367,0.5
30368,0.5
30369,0.5
30370,0.5
30371,0.5
30372,0.5
30373,0.5
30374,0.5
30375,0.5
30376,0.5
30377,0.5
30378,0.5
30379,0.5
30380,0.5
30381,0.5
30382,0.5
30383,0.5
30384,0.5
30385,0.5
30386,0.5
30387,0.5
30388,0.5
30389,0.5
30390,0.5
30391,0.5
30392,0.5
30393,0.5
30394,0.5
30395,0.5
30396,0.5
30397,0.5
30398,0.5
30399,0.5
30400,0.5
30401,0.5
30402,0.5
30403,0.5
30404,0.5
30405,0.5
30406,0.5
30407,0.5
30408,0.5
30409,0.5
30410,0.5
30411,0.5
30412,0.5
30413,0.5
30414,0.5
30415,0.5
30416,0.5
30417,0.5
30418,0.5
30419,0.5
30420,0.5
30421,0.5
30422,0.5
30423,0.5
30424,0.5
30425,0.5
30426,0.5
30427,0.5
30428,0.5
30429,0.5
30430,0.5
30431,0.5
30432,0.5
30433,0.5
30434,0.5
30435,0.5
30436,0.5
30437,0.5
30438,0.5
30439,0.5
30440,0.5
30441,0.5
30442,0.5
30443,0.5
30444,0.5
30445,0.5
30446,0.5
30447,0.5
30448,0.5
30449,0.5
30450,0.5
30451,0.5
30452,0.5
30453,0.5
30454,0.5
30455,0.5
30456,0.5
30457,0.5
30458,0.5
30459,0.5
30460,0.5
30461,0.5
30462,0.5
30463,0.5
30464,0.5
30465,0.5
30466,0.5
30467,0.5
30468,0.5
30469,0.5
30470,0.5
30471,0.5
30472,0.5
30473,0.5
30474,0.5
30475,0.5
30476,0.5
30477,0.5
30478,0.5
30479,0.5
30480,0.5
30481,0.5
30482,0.5
30483,0.5
30484,0.5
30485,0.5
30486,0.5
30487,0.5
30488,0.5
30489,0.5
30490,0.5
30491,0.5
30492,0.5
30493,0.5
30494,0.5
30495,0.5
30496,0.5
30497,0.5
30498,0.5
30499,0.5
30500,0.5
30501,0.5
30502,0.5
30503,0.5
30504,0.5
30505,0.5
30506,0.5
30507,0.5
30508,0.5
30509,0.5
30510,0.5
30511,0.5
30512,0.5
30513,0.5
30514,0.5
30515,0.5
30516,0.5
30517,0.5
30518,0.5
30519,0.5
30520,0.5
30521,0.5
30522,0.5
30523,0.5
30524,0.5
30525,0.5
30526,0.5
30527,0.5
30528,0.5
30529,0.5
30530,0.5
30531,0.5
30532,0.5
30533,0.5
30534,0.5
30535,0.5
30536,0.5
30537,0.5
30538,0.5
30539,0.5
30540,0.5
30541,0.5
30542,0.5
30543,0.5
30544,0.5
30545,0.5
30546,0.5
30547,0.5
30548,0.5
30549,0.5
30550,0.5
30551,0.5
30552,0.5
30553,0.5
30554,0.5
30555,0.5
30556,0.5
30557,0.5
30558,0.5
30559,0.5
30560,0.5
30561,0.5
30562,0.5
30563,0.5
30564,0.5
30565,0.5
30566,0.5
30567,0.5
30568,0.5
30569,0.5
30570,0.5
30571,0.5
30572,0.5
30573,0.5
30574,0.5
30575,0.5
30576,0.5
30577,0.5
30578,0.5
30579,0.5
30580,0.5
30581,0.5
30582,0.5
30583,0.5
30584,0.5
30585,0.5
30586,0.5
30587,0.5
30588,0.5
30589,0.5
30590,0.5
30591,0.5
30592,0.5
30593,0.5
30594,0.5
30595,0.5
30596,0.5
30597,0.5
30598,0.5
30599,0.5
30600,0.5
30601,0.5
30602,0.5
30603,0.5
30604,0.5
30605,0.5
30606,0.5
30607,0.5
30608,0.5
30609,0.5
30610,0.5
30611,0.5
30612,0.5
30613,0.5
30614,0.5
30615,0.5
30616,0.5
30617,0.5
30618,0.5
30619,0.5
30620,0.5
30621,0.5
30622,0.5
30623,0.5
30624,0.5
30625,0.5
30626,0.5
30627,0.5
30628,0.5
30629,0.5
30630,0.5
30631,0.5
30632,0.5
30633,0.5
30634,0.5
30635,0.5
30636,0.5
30637,0.5
30638,0.5
30639,0.5
30640,0.5
30641,0.5
30642,0.5
30643,0.5
30644,0.5
30645,0.5
30646,0.5
30647,0.5
30648,0.5
30649,0.5
30650,0.5
30651,0.5
30652,0.5
30653,0.5
30654,0.5
30655,0.5
30656,0.5
30657,0.5
30658,0.5
30659,0.5
30660,0.5
30661,0.5
30662,0.5
30663,0.5
30664,0.5
30665,0.5
30666,0.5
30667,0.5
30668,0.5
30669,0.5
30670,0.5
30671,0.5
30672,0.5
30673,0.5
30674,0.5
30675,0.5
30676,0.5
30677,0.5
30678,0.5
30679,0.5
30680,0.5
30681,0.5
30682,0.5
30683,0.5
30684,0.5
30685,0.5
30686,0.5
30687,0.5
30688,0.5
30689,0.5
30690,0.5
30691,0.5
30692,0.5
30693,0.5
30694,0.5
30695,0.5
30696,0.5
30697,0.5
30698,0.5
30699,0.5
30700,0.5
30701,0.5
30702,0.5
30703,0.5
30704,0.5
30705,0.5
30706,0.5
